Código da Infração;Desdob;Descrição da Infração; Infrator; Pontos; Gravidade; Órgão Competente
501-0;0;Dirigir veículo sem possuir CNH ou Permissão para Dirigir;Condutor;7;Gravíss 3X;ESTADUAL/RODOV
502-9;1;Dirigir veículo com CNH cassada;Condutor;7;Gravíss 5X; ESTADUAL/RODOV
502-9;2;Dirigir veículo com Permissão para Dirigir cassada;Condutor;7;Gravíss 5X;ESTADUAL/RODOV
502-9;3;Dirigir veículo com CNH ou PPD com suspensão do direito de dirigir;Condutor;7;Gravíss 5X;ESTADUAL/RODOV
503-7;1;Dirigir veículo com CNH de categoria diferente da do veículo;Condutor;7;Gravíss 3X;ESTADUAL/RODOV
503-7;2;Dirigir veículo com PPD de categoria diferente da do veículo;Condutor;7;Gravíss 3X;ESTADUAL/RODOV
504-5;0;Dirigir veículo com validade da CNH ou PPD vencida há mais de 30 dias;Condutor;7;Gravíss;ESTADUAL/RODOV
505-3;1;Dirigir veículo sem usar lentes corretoras de visão;Condutor;7;Gravíss;ESTADUAL/RODOV
505-3;2;Dirigir veículo sem usar aparelho auxiliar de audição;Condutor;7;Gravíss;ESTADUAL/RODOV
505-3;3;Dirigir veículo sem usar aparelho auxiliar de prótese física;Condutor;7;Gravíss;ESTADUAL/RODOV
505-3;4;Dirigir veículo s/ adaptações impostas na concessão/renovação licença conduzir;Condutor;7;Gravíss;ESTADUAL/RODOV
506-1;0;Entregar veículo a pessoa sem CNH ou Permissão para Dirigir;Proprietário;7;Gravíss 3X;ESTADUAL/RODOV
507-0;1;Entregar veículo a pessoa com CNH cassada;Proprietário;7;Gravíss 5X;ESTADUAL/RODOV
507-0;2;Entregar veículo a pessoa com Permissão para Dirigir cassada;Proprietário;7;Gravíss 5X;ESTADUAL/RODOV
507-0;3;Entregar veículo a pessoa com CNH ou PPD com suspensão do direito de dirigir;Proprietário;7;Gravíss 5X;ESTADUAL/RODOV
508-8;1;Entregar veículo a pessoa com CNH de categoria diferente da do veículo;Proprietário;7;Gravíss 3X;ESTADUAL/RODOV
508-8;2;Entregar veículo a pessoa com PPD de categoria diferente da do veículo;Proprietário;7;Gravíss 3X;ESTADUAL/RODOV
509-6;0;Entregar veículo a pessoa com CNH vencida há mais de 30 dias;Proprietário;7;Gravíss;ESTADUAL/RODOV
510-0;1;Entregar o veículo a pessoa sem usar lentes corretoras de visão;Proprietário;7;Gravíss;ESTADUAL/RODOV
510-0;2;Entregar o veículo a pessoa sem usar aparelho auxiliar de audição;Proprietário;7;Gravíss;ESTADUAL/RODOV
510-0;3;Entregar o veículo a pessoa sem aparelho de prótese física;Proprietário;7;Gravíss;ESTADUAL/RODOV
510-0;4;Entregar veíc pessoa s/ adaptações impostas concessão/renovação licença conduzir;Proprietário;7;Gravíss;ESTADUAL/RODOV
511-8;0;Permitir posse/condução do veículo a pessoa sem CNH ou PPD;Proprietário;7;Gravíss 3X;ESTADUAL/RODOV
512-6;1;Permitir posse/condução do veículo a pessoa com CNH cassada;Proprietário;7;Gravíss 5X;ESTADUAL/RODOV
512-6;2;Permitir posse/condução do veículo a pessoa com PPD cassada;Proprietário;7;Gravíss 5X;ESTADUAL/RODOV
512-6;3;Permitir posse/condução veíc pessoa com CNH/PPD c/ suspensão direito de dirigir;Proprietário;7;Gravíss 5X;ESTADUAL/RODOV
